ticker,sector,sub_sector
UCOBANK,Banks,Public Sector Bank
ULTRACEMCO,Cement,Cement & Cement Products
UNIONBANK,Banks,Public Sector Bank
UNITDSPR,Industrial Manufacturing,Breweries & Distilleries
UNOMINDA,Autos,Auto Components & Equipments
UPL,Chemicals,Pesticides & Agrochemicals
URBANCO,Consumer,E-Retail/ E-Commerce
USHAMART,Industrial Manufacturing,Iron & Steel Products
UTIAMC,Financial Services,Asset Management Company
VBL,Industrial Manufacturing,Other Beverages
VEDL,Industrial Manufacturing,Diversified Metals
VIJAYA,Hospitals,Healthcare Service Provider
VMM,Consumer,Diversified Retail
VOLTAS,Consumer,Household Appliances
VTL,Industrial Manufacturing,Other Textile Products
WAAREEENER,Capital Goods,Other Electrical Equipment
WELCORP,Industrial Manufacturing,Iron & Steel Products
WELSPUNLIV,Industrial Manufacturing,Other Textile Products
WHIRLPOOL,Consumer,Household Appliances
WIPRO,IT Services,Computers - Software & Consulting
WOCKPHARMA,Pharma,Pharmaceuticals
YESBANK,Banks,Private Sector Bank
ZEEL,Industrial Manufacturing,TV Broadcasting & Software Production
ZENSARTECH,IT Services,Computers - Software & Consulting
ZENTEC,Defence,Drones
ZFCVINDIA,Autos,Auto Components & Equipments
ZYDUSLIFE,Pharma,Pharmaceuticals
ZYDUSWELL,Consumer,Packaged Foods
