ticker,as_of_date,market_cap_cr,enterprise_value_cr,pe,ev_ebitda,pb,ps,roe,roce,roa,industry_pe,historical_pe_3y,historical_pe_5y,historical_pe_10y,avg_roe_3y,avg_roe_5y,debt_equity,current_ratio,interest_coverage,revenue_ttm,ebitda_ttm,pat_ttm,revenue_growth_1y,revenue_growth_3y,revenue_growth_5y,ebitda_margin,pat_margin,ebitda_growth_1y,pat_growth_1y,pat_growth_3y,pat_growth_5y,promoter_holding,fii_holding,dii_holding,public_holding,latest_result_date,result_quarter,cash,total_debt,working_capital_days,cfo_ttm,source,ingested_at
MEESHO,2026-06-11,77228.51,75398.01,,-74.47,17.45,6.12,-42.32,-35.59,-16.31,48.71,,,,-92.41,,0.01,1.55,-118.22,12626.35,,,,30.09,,-11.76,,,8.1,8.1,,16.57,4.17,5.56,73.7,,,,62.63,,,screener,2026-06-11T12:45:34.591728+05:30
MFSL,2026-06-11,54334.87,54056.37,654.0,231.07,10.29,1.14,1.57,2.95,0.05,66.1,112.5,106.55,70.31,5.59,6.64,0.35,1.04,2.07,47674.11,,,,14.92,8.8,0.44,,,-39.68,-39.68,-27.87,1.25,47.88,44.74,6.11,,,,1858.65,,,screener,2026-06-11T12:45:34.591728+05:30
MGL,2026-06-11,10527.72,10632.83,12.42,6.77,1.63,1.28,13.74,18.28,9.86,14.74,11.74,12.3,14.37,18.61,18.75,0.03,0.94,56.45,8240.21,,,,9.37,30.8,17.61,,,2.34,2.34,6.45,32.5,24.13,21.01,12.34,,,,218.73,,,screener,2026-06-11T12:45:34.591728+05:30
MINDACORP,2026-06-11,15374.0,16698.37,42.52,22.68,5.79,2.49,14.93,12.76,6.93,27.43,48.38,37.38,28.37,13.39,14.41,0.56,0.94,4.16,6185.34,,,,12.88,21.17,11.66,,,8.27,8.27,31.04,64.84,8.8,18.82,5.97,,,,1471.45,,,screener,2026-06-11T12:45:34.591728+05:30
MMTC,2026-06-11,9525.0,7736.35,95.22,45.29,4.48,6755.32,5.23,8.66,3.19,24.9,74.91,68.85,77.56,6.85,,0.0,3.4,212.42,1.41,,,,-92.63,-86.37,-13024.82,,,-31.45,-31.45,2.89,89.93,0.13,1.77,8.18,,,,0.02,,,screener,2026-06-11T12:45:34.591728+05:30
MOTHERSON,2026-06-11,148342.69,159278.51,35.89,12.45,3.59,1.18,10.9,13.08,4.32,27.43,38.29,40.37,33.6,11.55,10.05,0.47,1.06,4.72,126103.67,,,,16.97,17.06,9.44,,,38.92,38.92,31.08,48.6,12.45,21.08,17.6,,,,19169.76,,,screener,2026-06-11T12:45:34.591728+05:30
MOTILALOFS,2026-06-11,50225.62,57997.27,26.86,14.83,3.94,5.36,15.6,12.65,4.84,20.69,15.87,11.43,19.73,23.19,22.4,1.65,2.1,2.84,9373.97,,,,30.92,20.92,41.28,,,26.13,26.13,7.06,67.54,7.03,6.02,19.4,,,,21255.11,,,screener,2026-06-11T12:45:34.591728+05:30
MPHASIS,2026-06-11,43286.63,44153.6,22.93,13.36,4.02,2.73,18.54,22.8,11.61,20.32,29.51,29.7,24.13,18.41,19.45,0.24,1.38,13.47,15879.65,,,,4.79,10.31,18.75,,,5.12,5.12,9.2,30.55,19.51,45.65,4.28,,,,2619.68,,,screener,2026-06-11T12:45:34.591728+05:30
MRF,2026-06-11,52166.06,53190.0,21.11,9.84,2.49,1.67,12.54,15.73,8.04,21.47,29.06,31.86,25.17,12.13,9.47,0.15,1.65,9.97,31149.01,,,,10.62,14.02,15.73,,,52.34,52.34,14.09,27.78,17.98,12.25,41.98,,,,3206.66,,,screener,2026-06-11T12:45:34.591728+05:30
MRPL,2026-06-11,27656.03,42386.46,14.41,6.58,1.97,0.31,14.17,17.69,4.88,5.68,15.06,12.48,10.06,14.83,21.57,1.08,1.14,5.43,88667.49,,,,-6.66,22.64,7.03,,,-10.28,-10.28,35.33,88.58,3.41,0.34,7.67,,,,15341.02,,,screener,2026-06-11T12:45:34.591728+05:30
